Unnamed: 0,REF_U_1,REF_U_2,REF_U_3,REF_tau_11,REF_tau_12,REF_tau_13,REF_tau_22,REF_tau_23,REF_tau_33,REF_k,REF_a_11,REF_a_12,REF_a_13,REF_a_22,REF_a_23,REF_a_33,REF_b_11,REF_b_12,REF_b_13,REF_b_22,REF_b_23,REF_b_33,REF_gradU_11,REF_gradU_12,REF_gradU_13,REF_gradU_21,REF_gradU_22,REF_gradU_23,REF_gradU_31,REF_gradU_32,REF_gradU_33,REF_divtau_1,REF_divtau_2,REF_divtau_3,REF_tauplus_11,REF_tauplus_12,REF_tauplus_13,REF_tauplus_21,REF_tauplus_22,REF_tauplus_23,REF_tauplus_31,REF_tauplus_32,REF_tauplus_33,REF_Uplus_1,REF_Uplus_2,REF_Uplus_3,REF_yplus,Case
0,0.1831484,5.5245266e-08,0.0,0.008607882,-7.5992566e-06,0.0,1.5087038e-07,0.0,0.0036482867,0.00612816,0.0045224424,-7.5992566e-06,0.0,-0.0040852893,0.0,-0.0004371533,0.3689886,-0.0006200276,0.0,-0.33332103,0.0,-0.035667583,-0.3174218,659190.56,0.0,0.0,0.3174218,0.0,0.0,0.0,0.0,-55.217163,1.9244925,0.0,0.00094079465,-8.305573e-07,0.0,-8.305573e-07,1.648931e-08,0.0,0.0,0.0,0.00039873787,0.06054836,1.8263934e-08,0.0,0.060548414,fp_1000
1,0.55467683,5.5222387e-07,0.0,0.057278816,-9.240743e-05,0.0,3.3993724e-06,0.0,0.023669906,0.04047606,0.030294774,-9.240743e-05,0.0,-0.02698064,0.0,-0.0033141344,0.37423077,-0.0011415072,0.0,-0.33329135,0.0,-0.04093944,-1.3124001,659179.8,0.0,0.0,1.3124001,0.0,0.0,0.0,0.0,-310.4015,16.617136,0.0,0.0062602623,-1.00996285e-05,0.0,-1.00996285e-05,3.7153288e-07,0.0,0.0,0.0,0.0025869918,0.18337464,1.825637e-07,0.0,0.18337555,fp_1000
2,0.9368166,1.7246157e-06,0.0,0.15337951,-0.00035010406,0.0,1.554829e-05,0.0,0.06197673,0.107685894,0.08158891,-0.00035010406,0.0,-0.07177505,0.0,-0.009813865,0.37882823,-0.00162558,0.0,-0.33326113,0.0,-0.045567084,-2.2650204,659152.94,0.0,0.0,2.2650204,0.0,0.0,0.0,0.0,-785.5982,53.329105,0.0,0.016763546,-3.826447e-05,0.0,-3.826447e-05,1.6993433e-06,0.0,0.0,0.0,0.006773719,0.309709,5.7015325e-07,0.0,0.30971274,fp_1000
3,1.3298446,3.4726497e-06,0.0,0.31295907,-0.0010979123,0.0,7.115068e-05,0.0,0.12166203,0.21734613,0.16806166,-0.0010979123,0.0,-0.14482626,0.0,-0.023235388,0.38662216,-0.002525723,0.0,-0.33316964,0.0,-0.053452503,-3.1767747,659085.2,0.0,0.0,3.1767747,0.0,0.0,0.0,0.0,-1566.9144,136.21713,0.0,0.03420472,-0.000119995835,0.0,-0.000119995835,7.776382e-06,0.0,0.0,0.0,0.013296997,0.43964297,1.1480486e-06,0.0,0.43966028,fp_1000
4,1.7340882,5.539989e-06,0.0,0.5072728,-0.0021069343,0.0,0.00014975855,0.0,0.19313057,0.35027656,0.27375507,-0.0021069343,0.0,-0.23336795,0.0,-0.04038714,0.39076993,-0.0030075298,0.0,-0.33311957,0.0,-0.057650357,-4.080756,658995.5,0.0,0.0,4.080756,0.0,0.0,0.0,0.0,-2515.9011,243.8943,0.0,0.055442154,-0.00023027645,0.0,-0.00023027645,1.6367794e-05,0.0,0.0,0.0,0.021108119,0.5732848,1.8315052e-06,0.0,0.5733214,fp_1000
5,2.149762,8.615713e-06,0.0,0.7847224,-0.004253047,0.0,0.00037144858,0.0,0.28767848,0.5363862,0.42713162,-0.004253047,0.0,-0.35721934,0.0,-0.06991229,0.39815682,-0.003964538,0.0,-0.33298707,0.0,-0.065169744,-5.0679836,658816.44,0.0,0.0,5.0679836,0.0,0.0,0.0,0.0,-3880.6265,431.59232,0.0,0.08576588,-0.00046483488,0.0,-0.00046483488,4.0597308e-05,0.0,0.0,0.0,0.031441692,0.71070546,2.8483314e-06,0.0,0.71080214,fp_1000
6,2.577237,1.2382722e-05,0.0,1.1194131,-0.0071649067,0.0,0.00068899035,0.0,0.39829963,0.7592009,0.6132792,-0.0071649067,0.0,-0.50544494,0.0,-0.1078343,0.40389785,-0.004718716,0.0,-0.33287957,0.0,-0.07101829,-6.119916,658577.06,0.0,0.0,6.119916,0.0,0.0,0.0,0.0,-5531.362,673.56036,0.0,0.12234576,-0.0007830853,0.0,-0.0007830853,7.530289e-05,0.0,0.0,0.0,0.04353198,0.8520275,4.093694e-06,0.0,0.8522117,fp_1000
7,3.016843,1.6509946e-05,0.0,1.4858772,-0.010667585,0.0,0.0010963174,0.0,0.5166124,1.0017929,0.8180152,-0.010667585,0.0,-0.66676563,0.0,-0.15124956,0.40827557,-0.005324246,0.0,-0.33278614,0.0,-0.07548943,-7.1927648,658292.44,0.0,0.0,7.1927648,0.0,0.0,0.0,0.0,-7340.0894,947.82227,0.0,0.16239828,-0.0011659089,0.0,-0.0011659089,0.000119821525,0.0,0.0,0.0,0.05646292,0.9973601,5.4581433e-06,0.0,0.9976624,fp_1000
8,3.468459,2.2400738e-05,0.0,2.007517,-0.017577715,0.0,0.0020411653,0.0,0.66782457,1.3386914,1.1150562,-0.017577715,0.0,-0.8904198,0.0,-0.22463638,0.41647243,-0.0065652602,0.0,-0.33257097,0.0,-0.08390148,-8.236687,657749.25,0.0,0.0,8.236687,0.0,0.0,0.0,0.0,-9922.555,1395.2823,0.0,0.21941069,-0.0019211484,0.0,-0.0019211484,0.00022308824,0.0,0.0,0.0,0.07298958,1.1466631,7.405623e-06,0.0,1.1472696,fp_1000
9,3.9329808,2.8459872e-05,0.0,2.544064,-0.024685316,0.0,0.003013014,0.0,0.8233579,1.6852175,1.4205856,-0.024685316,0.0,-1.1204653,0.0,-0.30012038,0.42148438,-0.0073240744,0.0,-0.3324394,0.0,-0.089045,-9.31044,657190.5,0.0,0.0,9.31044,0.0,0.0,0.0,0.0,-12578.82,1855.5295,0.0,0.27805233,-0.0026979707,0.0,-0.0026979707,0.00032930603,0.0,0.0,0.0,0.08998854,1.3002326,9.408756e-06,0.0,1.3011522,fp_1000
